"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bulgaria","BGR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.508660018444061","0.470479995012283","0.495400011539459","0.542140007019043","0.498849987983704","0.448610007762909","0.465939998626709","0.473789989948273","0.472000002861023","0.443399995565414","0.443129986524582","0.426829993724823","0.445800006389618","0.495660006999969","0.571439981460571","0.536289989948273","0.608479976654053","0.636420011520386","0.795130014419556","","",
"Bahrain","BHR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0997700020670891","","",
"Bahamas, The","BHS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0185400005429983","0.0161099992692471","0.0277600008994341","0.0201799999922514","0.0257600005716085","0.0188100002706051","0.0214799996465445","","","0.270370006561279","0.327389985322952","0.261079996824265","","",
"Belarus","BLR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998520016670227","0.730000019073486","0.705780029296875","0.845229983329773","0.722100019454956","0.708760023117065","0.620899975299835","0.611469984054565","0.627590000629425","0.678520023822784","0.660650014877319","0.962029993534088","0.741469979286194","0.642690002918243","0.693499982357025","0.700600028038025","0.667050004005432","0.6735799908638","","","",
"Belize","BLZ","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0588500015437603","","","","","","","","","","0.205259993672371","0.209499999880791","0.222169995307922","0.22282999753952","0.261220008134842","0.23115000128746","0.226060003042221","0.22316999733448","","",
"Bolivia","BOL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.325439989566803","0.315770000219345","0.294950008392334","0.298359990119934","0.287440001964569","0.293579995632172","0.276630014181137","","","","","","","0.157000005245209","","","","","","","",
"Brazil","BRA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998860001564026","1.03165996074677","0.975899994373322","0.998160004615784","0.962960004806519","1.00192999839783","0.987919986248016","1.08227002620697","1.1298600435257","1.12029004096985","1.15962994098663","1.14007997512817","1.15113997459412","1.23601996898651","","","",
"Barbados","BRB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
