"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Belarus","BLR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5087432861328","73.3253402709961","71.946662902832","123.582069396973","120.184768676758","","","","","","","145.714645385742","165.954254150391","","","","","","",
"Brazil","BRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420.254272460938","436.763061523438","454.211547851563","490.221130371094","538.577026367188","580.488342285156","588.98291015625","603.108581542969","618.828308105469","656.335266113281","698.102111816406","","","","","","",
"Barbados","BRB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288.307800292969","280.354858398438","286.477355957031","","","","","","","","","","","","",
"Bhutan","BTN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164.898895263672","","","","",
"Central African Republic","CAF","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3058.029296875","3119.40380859375","3158.51831054688","3242.84350585938","3514.44018554688","3694.90258789063","3706.1455078125","3900.10400390625","4084.76782226563","4237.92724609375","4313.2109375","4588.22216796875","4711.7705078125","4451.4169921875","4649.21728515625","4785.5205078125","4634.31494140625","4518.513671875","","","",
"Central Europe and the Baltics","CEB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405.39225801185","1394.39840897464","1405.01596277278","1380.44997591946","1373.22306332234","1388.06806174282","1409.43449641898","1420.85600878199","1489.77123650138","1607.8846954832","1613.80966106437","1676.98833205808","1741.84185265256","1758.57216025569","1830.5550238932","1846.64646247371","1919.63067255782","1996.35431278228","2099.03774539527","","",
"Switzerland","CHE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3131.1826171875","","","","3643.11010742188","","","","3457.994140625","","","","3287.98291015625","","","","4481.07373046875","","","","",
